Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.85757971,5.99556017,5.54707241,5.2878232,5.59412527,4.96465921,4.92283344,5.6700263,6.08030987,7.87839746,7.70434046,6.74644995,6.83291245,6.82586813,7.02324152,7.00839424,7.16179609,7.43045759,7.40840626,9.05175877
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1336.061157,1486.010498,1772.507935,1989.831665,2214.391602,2138.999268,2489.10791,3046.019531,3024.994629,3796.64502,3956.992676,3029.506348,3056.725342,3113.924561,2729.944092,2796.619873,2910.015381,3188.003174,3061.790527,3336.917725
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.48351622,3.32946134,3.54797316,3.96719909,2.85219526,2.68553543,2.97439122,3.32290339,3.84260798,2.69509959,2.64560771,2.39574957,2.73282695,2.43412876,2.60579467,2.71314979,2.79383755,2.58879566,2.65592647,2.91183472
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,28.92523384,29.05480003,34.8696785,49.77629852,54.21235657,69.76922607,92.84111786,135.6315308,120.0315094,96.66415405,121.9136887,121.7957535,142.8861694,130.7423401,107.6435623,94.1061554,112.851471,83.89920044,69.37934113,50.74262238
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.078,75.536,75.478,75.672,75.825,75.765,76.131,76.41,76.669,76.82,77.104,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.43839121,5.28793621,5.58143282,5.11667967,4.99094057,4.63050652,4.44609547,4.20027018,4.17732763,5.37907028,5.44257212,5.47921467,5.50909233,5.87269926,5.27965546,5.12190151,4.87493944,4.84869289,4.37567186,5.61472893
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,571.1116333,557.902771,612.1538086,596.0717773,639.2401733,662.7189331,711.5620728,691.2073364,606.9046021,720.9244385,713.9985352,749.9437866,735.4927979,822.3922119,784.6453857,812.5109253,785.4710083,849.8334961,801.5438232,830.3395386
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.37179852,7.3933115,6.89451647,7.22868252,7.61078882,7.64032793,7.83455086,8.1826973,9.45599556,9.44546413,9.41819859,9.82726669,9.78097916,9.67129993,10.22933674,9.00189781,10.44225693,9.49909592,9.47170544,9.98438072
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,671.3685303,222.6475067,260.9826355,310.2199402,390.8044739,453.6393433,569.2883911,742.9046631,781.7780151,980.1362915,1202.563965,1361.991577,1415.210083,1280.614868,1525.053101,1149.313354,1525.591064,1122.474976,958.5234985,863.7144165
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.932,71.018,71.436,71.421,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.64563894,7.61358786,7.17936182,6.05510139,5.8618803,5.85007095,5.49814034,6.63976622,8.44377708,9.23538303,9.37588882,9.13455009,10.32345009,10.17827892,10.11762714,9.95195866,10.36270523,10.00543404,11.3798008,12.24103546
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,31.41045189,58.26768875,65.34529114,70.64100647,94.26863098,123.4087677,168.4783936,259.545166,246.335846,290.270813,324.657196,332.8370056,395.7140503,408.8848572,370.9266052,366.2273254,418.8600159,439.4309082,549.4743652,551.543396
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.68272257,7.87807608,7.88292599,8.09003353,7.97402954,7.98143196,8.05890179,8.25374031,8.55233955,8.42325497,8.53956795,8.67481709,8.75082779,9.84760189,10.18361282,10.09023094,10.1257143,10.07391548,10.22989082,10.6489954
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1559.821289,1763.695801,2240.746094,2760.830811,3014.10498,3194.030762,3815.336426,4107.012695,4011.932861,4975.471191,5909.149902,6071.650879,5843.174316,6139.393066,5324.34082,5453.99707,5816.260742,5864.394531,5555.374023,5901.106445
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.26942921,9.3947649,9.5472393,9.70939922,9.62702942,9.5311327,9.53209686,9.72564602,10.22582531,10.22101879,10.02613258,10.19915581,10.28574848,10.36809158,10.36746693,10.3522625,10.38402557,10.34483242,10.47507858,11.47426033
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2282.515869,2497.865967,3091.240234,3594.650391,3710.397949,3882.981934,4478.768555,5057.760742,4928.987793,4800.793457,5167.817871,4966.095703,5235.341309,5393.602051,4612.824219,4709.875977,4938.919922,5337.218262,5262.054199,5585.088379
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.51,66.239,66.756,67.346,67.562,68.165,68.603,68.811,69.356,69.529,69.984,70.36,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.75582409,2.73276305,2.73488688,2.6652894,2.26107669,2.06678391,1.99021435,1.9388088,2.6137836,2.48996639,2.44641805,2.96481562,3.03672314,3.37713742,4.10663605,4.03655434,3.73651457,3.55621028,4.0731144,4.60676527
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,18.99339676,20.35701752,23.51784706,27.03929138,34.5994606,49.48408508,74.08601379,105.2401047,126.9485855,142.6126251,172.3985443,217.7929993,234.2353363,260.8269653,220.9816589,153.2156372,151.614151,165.0249023,191.7555237,191.2273102
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.11,72.232,72.402,72.478,72.765,72.855,72.678,72.667,72.579,72.731,72.564,72.753,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.92440891,3.81251931,4.01998568,4.04628181,4.03196478,4.30935764,4.4965229,4.86301756,5.15061378,5.256392,5.32458639,5.31605101,5.62718821,5.55243731,5.14505529,5.58737278,6.67579222,6.01182079,5.90402126,7.59363365
"Bahamas, The",BHS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,990.3112793,1013.735962,1053.420166,1067.91626,1140.251587,1242.348999,1334.877075,1410.937988,1396.889526,1421.712036,1418.668701,1491.596069,1531.37146,1589.973877,1557.938477,1692.256104,2067.88623,1920.341064,1921.127075,1850.996216
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.908,76.088,76.337,76.56,76.931,77.156,77.634,78.084,78.461,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.48573017,3.67866111,3.88658071,3.49817729,3.25870824,3.10821271,3.29534078,3.2038722,4.32666922,4.08934975,3.8651762,4.10642147,4.30853891,4.41240263,4.97671938,4.86051178,4.51235688,4.12745647,3.95980344,4.72300106
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,438.6097107,471.5829773,553.0543823,551.8898315,576.9389038,592.3751221,688.1436768,741.8596191,841.4814453,866.3862305,917.6530151,1030.846558,1111.218262,1123.626953,1134.46167,1111.429932,1098.74333,1049.061303,1024.390545,1109.99743
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.135,66.612,66.824,67.187,67.299,67.241,66.714,67.051,67.403,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.10228109,2.29728079,2.3469069,2.37531114,2.44882679,2.52336478,2.60268927,2.53812432,2.61530614,2.74091864,2.83208537,2.81963444,2.75010324,2.7302258,2.72187114,2.86227322,2.78472567,2.71634603,2.620749,2.6280098
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,8.41617775,9.37759209,10.3110857,11.10974789,11.61940002,12.37925339,14.41430759,15.99568462,18.20583725,21.15062714,23.28593445,23.89686203,27.40725899,30.29579544,33.53680038,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.247,74.366,74.472,74.727,74.89,75.068,75.342,75.447,75.678,75.712,75.917,76.099,76.275,76.476,76.65,76.815,76.936,77.067,77.257,77.393
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.52529192,5.86123466,6.68377304,7.31510305,6.76892185,6.58324289,6.05583191,6.47676325,7.1486845,6.77398682,6.8993392,7.77819967,7.49560881,6.99789667,6.7748456,6.68155146,6.62216997,6.56259108,6.1940732,7.20014429
Barbados,BRB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,635.9644775,683.3395996,801.9308472,938.4135132,959.4101563,1026.708862,1042.755005,1136.730591,1165.940063,1117.034302,1166.433716,1298.255859,1266.211426,1184.376587,1148.700073,1158.155762,1180.755615,1193.492798,1171.256226,1199.712036
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,72.45721951
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.70827103,5.62329483,5.76984167,5.73709631,6.07036781,5.57381344,5.69203281,5.29415369,5.39037848,5.65694046,4.87438536,5.24532652,5.69559479,5.38793325,6.06533289,5.91054153,5.75974846,5.52699471,5.86133814,6.40607214
Belarus,BLR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,71.49589539,83.73773193,105.6564255,137.27948,190.860733,215.72052,271.1952515,339.6907044,281.0324097,332.7008972,310.1462097,355.4312439,443.8851929,438.053894,352.9858398,290.5529785,324.6889648,342.2110901,390.2497253,408.0947266
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.14988899,8.3182106,9.16443539,9.32808685,9.22374916,9.12963009,9.13628769,9.5951395,10.32117939,10.2022934,10.36337948,10.4796896,10.54895115,10.57526302,10.77388,10.76264191,10.75165462,10.78789711,10.6635952,11.06453228
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1879.934814,2084.719971,2814.880615,3312.741211,3405.88501,3545.927734,4064.876465,4653.505859,4638.438965,4531.033691,4930.141602,4694.45752,4941.96582,5063.925293,4432.703613,4529.787109,4761.874023,5142.367188,4983.656738,5009.455078
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.357,68.752,68.909,69.227,69.376,70.093,70.655,71.151,71.819,72.272,72.651,73.245,73.666,73.311,73.187,73.399,73.562,73.703,73.931,72.854
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.61388969,4.6827364,4.58048201,4.45052433,4.45325851,4.55476046,5.27267647,5.66974115,5.76006603,5.63032866,5.69136333,5.43051958,5.63784933,6.1609683,5.891294,6.06179619,5.74651003,5.80132008,6.07060003,6.92425728
Belize,BLZ,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,162.0722656,170.5810089,171.8561096,172.9487763,176.5420075,191.0374603,227.6395416,250.8681793,242.1031494,242.6184082,253.3620606,246.7473145,258.7583923,293.1546326,283.9475708,296.5607605,282.9595947,286.5994568,303.533905,277.990387
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.66,56.606,56.738,56.826,57.125,57.456,57.675,57.869,57.956,58.363,58.462,58.716,58.965,59.125,59.377,59.539,59.856,60.14,60.454,60.088
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.24909639,3.04335308,3.03765345,3.07606173,2.93478227,2.97331023,2.89382267,2.69675088,2.8252821,2.99710202,3.09628081,3.41449809,2.85861254,2.66743708,2.67942166,2.47028542,2.60406828,2.48485804,2.32052207,2.5893681
Benin,BEN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,16.51670074,17.17604637,21.21524048,24.11998749,23.65154839,24.89053345,27.33629799,29.63585472,29.99653816,30.25543213,34.04095459,37.98866653,34.71200562,33.38310242,27.91026306,25.93355942,28.52169609,29.65632439,27.17067146,32.12714767
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.871,80.631,79.345,81.12,77.927,77.585,79.361,78.623,79.996,80.499,81.403,81.272,79.992,79.518,80.918,80.608,82.351,80.825,81.033,81.136
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.444,64.078,64.696,65.268,65.805,66.362,66.954,67.499,67.897,68.43,68.881,69.326,69.707,70.049,70.343,70.602,70.847,71.129,71.391,71.609
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.0041995,4.59563637,4.1293807,4.59777308,4.13416338,4.4061017,4.1298461,3.38117099,3.5476253,3.55879498,3.34921789,3.61913681,3.70787191,3.55791116,3.75701189,3.57613945,3.3407371,3.2427721,3.60361075,4.37174511
Bhutan,BTN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,35.96975327,35.96072769,37.33245468,46.10057831,46.69151688,54.01427841,64.43791199,57.31074142,59.43021393,71.98933411,77.32337952,83.64318848,85.9859848,86.81033325,96.52057648,97.18308258,103.3909073,101.6993332,115.3208084,133.7031403
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.843,63.306,63.635,64.004,64.386,64.779,65.027,65.446,65.88,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.82522202,4.89645052,5.19709635,4.86315727,5.07408142,4.66087532,4.6968894,4.60677242,5.17444515,5.20230532,5.17306805,5.2539444,5.57465124,5.89613628,6.55064964,6.83333063,6.4901948,6.60399437,6.88792992,7.857059
Bolivia,BOL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,44.91654968,43.48994827,46.37623215,46.29327393,51.6701889,55.93380737,63.45651245,77.74305725,89.26693726,99.99167633,119.2386169,134.630661,159.0892181,178.2088013,194.9240112,205.9224396,212.8791351,229.2254028,239.1754456,241.1182251
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.06,74.612,75.782,76.133,75.42,76.247,76.161,76.838,76.976,77.073,77.007,77.191,76.33,75.659,76.182,76.808,76.935,77.093,77.241,76.225
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.60725927,7.42553377,8.30536652,9.06270218,9.05223751,9.17218685,9.5306015,9.68943882,9.02212143,9.01888275,9.17856026,9.49001503,9.44886494,9.49011135,9.35174561,9.24976635,8.93797779,8.89146042,9.04909897,9.8411274
Bosnia and Herzegovina,BIH,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,104.8823013,118.6892319,168.2800293,222.1770935,241.7700653,281.6235046,364.3659973,459.7754517,409.5067444,406.1713257,456.8049622,444.4206543,474.1942749,492.2119751,430.1271362,449.4085693,469.7721252,527.8095093,543.9828491,591.4064331
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.676,50.632,50.947,51.617,52.61,53.918,55.732,57.121,58.279,60.013,60.53,60.8,61.996,62.608,63.818,65.464,66.753,65.422,65.464,65.647
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.18953037,6.47326517,6.21158695,5.88532591,5.06940031,4.87897778,5.52080727,5.89747286,6.62081194,6.26718187,5.86915016,6.35010576,6.49913645,5.8804059,6.10287762,5.76837635,6.62986994,6.04010248,6.12193108,6.18664551
Botswana,BWA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,191.8169861,194.5590515,253.9558563,279.177887,263.3413391,250.9231262,296.5655212,315.2705994,326.9522095,378.646698,415.5810852,405.960083,418.3235169,402.4575806,358.2232056,369.842041,444.5560303,419.6544495,408.8959961,362.7345276
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.54963303,8.69686985,8.18899441,8.12491989,8.03539562,8.24952507,8.20182991,8.01128483,8.39480495,7.94516611,7.78819132,7.73637581,7.9766016,8.39644337,8.90930176,9.16901493,9.47125053,9.46474838,9.61449146,10.31291676
Brazil,BRA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,268.6497192,245.6619415,250.3089447,294.3838501,383.5508728,483.9191589,600.6356812,705.1339722,719.4265137,893.7750855,1028.084717,953.703125,977.8168945,1013.56842,782.5229492,795.9379883,937.3428955,863.2817383,850.4328613,700.7127075
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.846,73.891,73.986,74.251,74.723,74.88,75.039,75.007,75.26,75.428,75.486,75.532,75.574,75.612,75.675,75.724,74.785,75.831,75.863,75.849
British Virgin Islands,VGB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.276,74.426,74.561,74.65,74.731,74.783,74.818,74.84,74.846,74.849,74.858,74.827,74.799,74.779,74.75,74.733,74.722,74.712,74.748,74.795
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.54995036,2.53798175,2.60610557,2.5552268,2.23678851,1.91712439,1.96159494,1.87878013,2.38892293,2.27826095,1.86409724,1.85097206,1.898314,1.91436803,2.38708901,2.54828691,2.27036428,2.41289377,2.19410944,2.39377809
Brunei Darussalam,BRN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,463.8158569,472.2997437,534.1412354,617.5216675,643.3348389,650.2209473,695.6499023,778.060669,729.1307373,788.5003052,860.0778198,867.0618897,834.3091431,785.590271,732.394165,681.9734497,639.9196777,753.8118286,674.6516113,650.4782105
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.65853659
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.85958815,7.0809865,7.19987392,6.89090872,6.89011478,6.52544546,6.16035938,6.28771019,6.59577608,7.09571743,7.1026721,7.53875399,7.1426816,7.68282461,7.3912921,7.45653582,7.49168301,7.32867956,7.08924437,8.52063847
Bulgaria,BGR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,119.8299789,148.1479187,195.7436981,233.113327,267.741394,294.1089172,361.2349854,455.5405884,459.3002014,484.7522888,555.8641968,558.6479492,547.454834,605.2589111,521.4190674,562.3408203,624.5250244,689.9053955,697.8963623,856.7045288
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.071,51.272,51.793,52.416,53.092,53.742,54.375,55.342,55.959,56.477,57.125,57.619,57.823,58.359,58.845,59.326,59.536,60.047,60.039,59.731
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.88835382,2.97113013,3.14307284,4.21720934,3.95109582,4.51446247,5.23373222,4.64780712,5.08159161,5.23958349,4.64868164,4.60267258,5.56331587,5.00027227,5.13192415,5.95461321,6.05631208,4.95254326,5.38121271,6.71932602
Burkina Faso,BFA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,7.52252769,8.51982498,11.43507481,17.09873199,17.50115776,20.64653969,27.04532623,28.90426254,30.68659401,32.8663559,33.8243866,33.78236771,42.40937042,38.37065506,32.44025803,39.64500427,43.07155609,39.00283813,41.07073212,54.17696762
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.431,49.891,50.857,52.01,53.023,53.869,54.727,55.71,56.388,57.081,57.769,58.493,59.235,59.868,60.217,60.793,61.553,61.688,62.351,61.566
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.40484381,6.47216082,6.31327677,7.70102644,8.42368603,9.94232273,10.5808115,9.23542786,10.35023308,11.27638912,10.06996346,8.52668476,8.53728485,7.21081543,6.29022646,7.17137861,7.28069401,7.39932251,6.53989458,6.50141716
